any;comarca o Aran;concepte;estat;valor
2016;Vallès Occidental;població amb estudis baixos (%);..; 
2016;Vallès Occidental;població jove sense estudis postobligatoris (%);..; 
2016;Vallès Occidental;estrangers de països de renda baixa o mitjana (%);;8
2016;Vallès Occidental;renda mitjana per persona (€);;12950
2016;Vallès Oriental;població ocupada (%);;64,2
2016;Vallès Oriental;treballadors de baixa qualificació (%);;14,4
2016;Vallès Oriental;població amb estudis baixos (%);..; 
2016;Vallès Oriental;població jove sense estudis postobligatoris (%);..; 
2016;Vallès Oriental;estrangers de països de renda baixa o mitjana (%);;7,3
2016;Vallès Oriental;renda mitjana per persona (€);;12514
2017;Alt Camp;població ocupada (%);;64,6
2017;Alt Camp;treballadors de baixa qualificació (%);;15,6
2017;Alt Camp;població amb estudis baixos (%);..; 
2017;Alt Camp;població jove sense estudis postobligatoris (%);..; 
2017;Alt Camp;estrangers de països de renda baixa o mitjana (%);;10,2
2017;Alt Camp;renda mitjana per persona (€);;11642
2017;Alt Empordà;població ocupada (%);;60,3
2017;Alt Empordà;treballadors de baixa qualificació (%);;17
2017;Alt Empordà;població amb estudis baixos (%);..; 
2017;Alt Empordà;població jove sense estudis postobligatoris (%);..; 
2017;Alt Empordà;estrangers de països de renda baixa o mitjana (%);;16,9
2017;Alt Empordà;renda mitjana per persona (€);;11051
2017;Alt Penedès;població ocupada (%);;67
2017;Alt Penedès;treballadors de baixa qualificació (%);;13,1
2017;Alt Penedès;població amb estudis baixos (%);..; 
2017;Alt Penedès;població jove sense estudis postobligatoris (%);..; 
2017;Alt Penedès;estrangers de països de renda baixa o mitjana (%);;8,8
2017;Alt Penedès;renda mitjana per persona (€);;12495
2017;Alt Urgell;població ocupada (%);;56,3
2017;Alt Urgell;treballadors de baixa qualificació (%);;16,5
2017;Alt Urgell;població amb estudis baixos (%);..; 
2017;Alt Urgell;població jove sense estudis postobligatoris (%);..; 
2017;Alt Urgell;estrangers de països de renda baixa o mitjana (%);;6,2
2017;Alt Urgell;renda mitjana per persona (€);;10627
2017;Alta Ribagorça;població ocupada (%);;64,4
2017;Alta Ribagorça;treballadors de baixa qualificació (%);;12,8
2017;Alta Ribagorça;població amb estudis baixos (%);..; 
2017;Alta Ribagorça;població jove sense estudis postobligatoris (%);..; 
2017;Alta Ribagorça;estrangers de països de renda baixa o mitjana (%);;10,2
2017;Alta Ribagorça;renda mitjana per persona (€);;13094
2017;Anoia;població ocupada (%);;64
2017;Anoia;treballadors de baixa qualificació (%);;13,4
2017;Anoia;població amb estudis baixos (%);..; 
2017;Anoia;població jove sense estudis postobligatoris (%);..; 
2017;Anoia;estrangers de països de renda baixa o mitjana (%);;6,8
2017;Anoia;renda mitjana per persona (€);;11915
2017;Aran;població ocupada (%);;64,9
2017;Aran;treballadors de baixa qualificació (%);;8,6
2017;Aran;població amb estudis baixos (%);..; 
2017;Aran;població jove sense estudis postobligatoris (%);..; 
2017;Aran;estrangers de països de renda baixa o mitjana (%);;12,4
2017;Aran;renda mitjana per persona (€);;13060
2017;Bages;població ocupada (%);;64,3
2017;Bages;treballadors de baixa qualificació (%);;15,2
2017;Bages;població amb estudis baixos (%);..; 
2017;Bages;població jove sense estudis postobligatoris (%);..; 
2017;Bages;estrangers de països de renda baixa o mitjana (%);;9,3
2017;Bages;renda mitjana per persona (€);;12660
2017;Baix Camp;població ocupada (%);;61,9
2017;Baix Camp;treballadors de baixa qualificació (%);;13,2
2017;Baix Camp;població amb estudis baixos (%);..; 
2017;Baix Camp;població jove sense estudis postobligatoris (%);..; 
2017;Baix Camp;estrangers de països de renda baixa o mitjana (%);;12,3
2017;Baix Camp;renda mitjana per persona (€);;11741
2017;Baix Ebre;població ocupada (%);;58,9
2017;Baix Ebre;treballadors de baixa qualificació (%);;17,1
2017;Baix Ebre;població amb estudis baixos (%);..; 
2017;Baix Ebre;població jove sense estudis postobligatoris (%);..; 
2017;Baix Ebre;estrangers de països de renda baixa o mitjana (%);;12,9
2017;Baix Ebre;renda mitjana per persona (€);;10613
2017;Baix Empordà;població ocupada (%);;61,5
2017;Baix Empordà;treballadors de baixa qualificació (%);;16,3
2017;Baix Empordà;població amb estudis baixos (%);..; 
2017;Baix Empordà;població jove sense estudis postobligatoris (%);..; 
2017;Baix Empordà;estrangers de països de renda baixa o mitjana (%);;14,6
2017;Baix Empordà;renda mitjana per persona (€);;11281
2017;Baix Llobregat;població ocupada (%);;66,7
2017;Baix Llobregat;treballadors de baixa qualificació (%);;12,2
2017;Baix Llobregat;població amb estudis baixos (%);..; 
2017;Baix Llobregat;població jove sense estudis postobligatoris (%);..; 
2017;Baix Llobregat;estrangers de països de renda baixa o mitjana (%);;7,2
2017;Baix Llobregat;renda mitjana per persona (€);;13381
2017;Baix Penedès;població ocupada (%);;57,9
2017;Baix Penedès;treballadors de baixa qualificació (%);;15,7
2017;Baix Penedès;població amb estudis baixos (%);..; 
2017;Baix Penedès;població jove sense estudis postobligatoris (%);..; 
2017;Baix Penedès;estrangers de països de renda baixa o mitjana (%);;10,5
2017;Baix Penedès;renda mitjana per persona (€);;10855
2017;Barcelonès;població ocupada (%);;62,8
2017;Barcelonès;treballadors de baixa qualificació (%);;10,6
2017;Barcelonès;població amb estudis baixos (%);..; 
2017;Barcelonès;població jove sense estudis postobligatoris (%);..; 
2017;Barcelonès;estrangers de països de renda baixa o mitjana (%);;12,7
2017;Barcelonès;renda mitjana per persona (€);;14299
2017;Berguedà;població ocupada (%);;63,3
2017;Berguedà;treballadors de baixa qualificació (%);;14,7
2017;Berguedà;població amb estudis baixos (%);..; 
2017;Berguedà;població jove sense estudis postobligatoris (%);..; 
2017;Berguedà;estrangers de països de renda baixa o mitjana (%);;6,1
2017;Berguedà;renda mitjana per persona (€);;12840
2017;Cerdanya;població ocupada (%);;66,5
2017;Cerdanya;treballadors de baixa qualificació (%);;14,3
2017;Cerdanya;població amb estudis baixos (%);..; 
2017;Cerdanya;població jove sense estudis postobligatoris (%);..; 
2017;Cerdanya;estrangers de països de renda baixa o mitjana (%);;9,6
2017;Cerdanya;renda mitjana per persona (€);;12753
2017;Conca de Barberà;població ocupada (%);;69,4
2017;Conca de Barberà;treballadors de baixa qualificació (%);;14,5
2017;Conca de Barberà;població amb estudis baixos (%);..; 
2017;Conca de Barberà;població jove sense estudis postobligatoris (%);..; 
2017;Conca de Barberà;estrangers de països de renda baixa o mitjana (%);;9,7
2017;Conca de Barberà;renda mitjana per persona (€);;11942
2017;Garraf;població ocupada (%);;60,9
2017;Garraf;treballadors de baixa qualificació (%);;10,8
2017;Garraf;població amb estudis baixos (%);..; 
2017;Garraf;població jove sense estudis postobligatoris (%);..; 
2017;Garraf;estrangers de països de renda baixa o mitjana (%);;7,2
2017;Garraf;renda mitjana per persona (€);;13316
2017;Garrigues;població ocupada (%);;66,4
2017;Garrigues;treballadors de baixa qualificació (%);;20,8
2017;Garrigues;població amb estudis baixos (%);..; 
2017;Garrigues;població jove sense estudis postobligatoris (%);..; 
2017;Garrigues;estrangers de països de renda baixa o mitjana (%);;11,5
2017;Garrigues;renda mitjana per persona (€);;11017
2017;Garrotxa;població ocupada (%);;69,5
2017;Garrotxa;treballadors de baixa qualificació (%);;16
2017;Garrotxa;població amb estudis baixos (%);..; 
2017;Garrotxa;població jove sense estudis postobligatoris (%);..; 
2017;Garrotxa;estrangers de països de renda baixa o mitjana (%);;12,2
2017;Garrotxa;renda mitjana per persona (€);;12856
2017;Gironès;població ocupada (%);;64,9
2017;Gironès;treballadors de baixa qualificació (%);;14,8
2017;Gironès;població amb estudis baixos (%);..; 
2017;Gironès;població jove sense estudis postobligatoris (%);..; 
2017;Gironès;estrangers de països de renda baixa o mitjana (%);;17,3
2017;Gironès;renda mitjana per persona (€);;12661
2017;Maresme;població ocupada (%);;63,8
2017;Maresme;treballadors de baixa qualificació (%);;11,6
2017;Maresme;població amb estudis baixos (%);..; 
2017;Maresme;població jove sense estudis postobligatoris (%);..; 
2017;Maresme;estrangers de països de renda baixa o mitjana (%);;8,5
2017;Maresme;renda mitjana per persona (€);;13049
2017;Moianès;població ocupada (%);;70
2017;Moianès;treballadors de baixa qualificació (%);;14,9
2017;Moianès;població amb estudis baixos (%);..; 
2017;Moianès;població jove sense estudis postobligatoris (%);..; 
2017;Moianès;estrangers de països de renda baixa o mitjana (%);;5,9
2017;Moianès;renda mitjana per persona (€);;12730
2017;Montsià;població ocupada (%);;55,4
2017;Montsià;treballadors de baixa qualificació (%);;18,7
2017;Montsià;població amb estudis baixos (%);..; 
2017;Montsià;població jove sense estudis postobligatoris (%);..; 
2017;Montsià;estrangers de països de renda baixa o mitjana (%);;14,3
2017;Montsià;renda mitjana per persona (€);;9775
2017;Noguera;població ocupada (%);;65,1
2017;Noguera;treballadors de baixa qualificació (%);;20
2017;Noguera;població amb estudis baixos (%);..; 
2017;Noguera;població jove sense estudis postobligatoris (%);..; 
2017;Noguera;estrangers de països de renda baixa o mitjana (%);;14,9
2017;Noguera;renda mitjana per persona (€);;11253
2017;Osona;població ocupada (%);;69,1
2017;Osona;treballadors de baixa qualificació (%);;17,8
2017;Osona;població amb estudis baixos (%);..; 
2017;Osona;població jove sense estudis postobligatoris (%);..; 
2017;Osona;estrangers de països de renda baixa o mitjana (%);;12,1
2017;Osona;renda mitjana per persona (€);;12925
2017;Pallars Jussà;població ocupada (%);;61,3
2017;Pallars Jussà;treballadors de baixa qualificació (%);;16,9
2017;Pallars Jussà;població amb estudis baixos (%);..; 
2017;Pallars Jussà;població jove sense estudis postobligatoris (%);..; 
2017;Pallars Jussà;estrangers de països de renda baixa o mitjana (%);;10,5
2017;Pallars Jussà;renda mitjana per persona (€);;12467
2017;Pallars Sobirà;població ocupada (%);;68,3
2017;Pallars Sobirà;treballadors de baixa qualificació (%);;12,7
2017;Pallars Sobirà;població amb estudis baixos (%);..; 
2017;Pallars Sobirà;població jove sense estudis postobligatoris (%);..; 
2017;Pallars Sobirà;estrangers de països de renda baixa o mitjana (%);;8,3
2017;Pallars Sobirà;renda mitjana per persona (€);;13014
2017;Pla d'Urgell;població ocupada (%);;67
2017;Pla d'Urgell;treballadors de baixa qualificació (%);;21,9
2017;Pla d'Urgell;població amb estudis baixos (%);..; 
2017;Pla d'Urgell;població jove sense estudis postobligatoris (%);..; 
2017;Pla d'Urgell;estrangers de països de renda baixa o mitjana (%);;16,7
2017;Pla d'Urgell;renda mitjana per persona (€);;11093
2017;Pla de l'Estany;població ocupada (%);;71,2
2017;Pla de l'Estany;treballadors de baixa qualificació (%);;14,8
2017;Pla de l'Estany;població amb estudis baixos (%);..; 
2017;Pla de l'Estany;població jove sense estudis postobligatoris (%);..; 
2017;Pla de l'Estany;estrangers de països de renda baixa o mitjana (%);;12,3
2017;Pla de l'Estany;renda mitjana per persona (€);;12726
2017;Priorat;població ocupada (%);;65,7
2017;Priorat;treballadors de baixa qualificació (%);;21,2
2017;Priorat;població amb estudis baixos (%);..; 
2017;Priorat;població jove sense estudis postobligatoris (%);..; 
2017;Priorat;estrangers de països de renda baixa o mitjana (%);;8,8
2017;Priorat;renda mitjana per persona (€);;11003
2017;Ribera d'Ebre;població ocupada (%);;60
2017;Ribera d'Ebre;treballadors de baixa qualificació (%);;15
2017;Ribera d'Ebre;població amb estudis baixos (%);..; 
2017;Ribera d'Ebre;població jove sense estudis postobligatoris (%);..; 
2017;Ribera d'Ebre;estrangers de països de renda baixa o mitjana (%);;10,5
2017;Ribera d'Ebre;renda mitjana per persona (€);;12121
2017;Ripollès;població ocupada (%);;69,5
2017;Ripollès;treballadors de baixa qualificació (%);;17,6
2017;Ripollès;població amb estudis baixos (%);..; 
2017;Ripollès;població jove sense estudis postobligatoris (%);..; 
2017;Ripollès;estrangers de països de renda baixa o mitjana (%);;7,1
2017;Ripollès;renda mitjana per persona (€);;13542
2017;Segarra;població ocupada (%);;69,6
2017;Segarra;treballadors de baixa qualificació (%);;18,9
2017;Segarra;població amb estudis baixos (%);..; 
2017;Segarra;població jove sense estudis postobligatoris (%);..; 
2017;Segarra;estrangers de països de renda baixa o mitjana (%);;24,7
2017;Segarra;renda mitjana per persona (€);;12046
2017;Segrià;població ocupada (%);;61,4
2017;Segrià;treballadors de baixa qualificació (%);;16,4
2017;Segrià;població amb estudis baixos (%);..; 
2017;Segrià;població jove sense estudis postobligatoris (%);..; 
2017;Segrià;estrangers de països de renda baixa o mitjana (%);;16,6
2017;Segrià;renda mitjana per persona (€);;11766
2017;Selva;població ocupada (%);;61,3
2017;Selva;treballadors de baixa qualificació (%);;16,2
2017;Selva;població amb estudis baixos (%);..; 
2017;Selva;població jove sense estudis postobligatoris (%);..; 
2017;Selva;estrangers de països de renda baixa o mitjana (%);;14,3
2017;Selva;renda mitjana per persona (€);;11123
2017;Solsonès;població ocupada (%);;69,1
2017;Solsonès;treballadors de baixa qualificació (%);;17,2
2017;Solsonès;població amb estudis baixos (%);..; 
2017;Solsonès;població jove sense estudis postobligatoris (%);..; 
2017;Solsonès;estrangers de països de renda baixa o mitjana (%);;9,3
2017;Solsonès;renda mitjana per persona (€);;11389
2017;Tarragonès;població ocupada (%);;59,8
2017;Tarragonès;treballadors de baixa qualificació (%);;11,7
2017;Tarragonès;població amb estudis baixos (%);..; 
2017;Tarragonès;població jove sense estudis postobligatoris (%);..; 
2017;Tarragonès;estrangers de països de renda baixa o mitjana (%);;13,7
2017;Tarragonès;renda mitjana per persona (€);;12270
2017;Terra Alta;població ocupada (%);;65,8
2017;Terra Alta;treballadors de baixa qualificació (%);;17,9
2017;Terra Alta;població amb estudis baixos (%);..; 
2017;Terra Alta;població jove sense estudis postobligatoris (%);..; 
2017;Terra Alta;estrangers de països de renda baixa o mitjana (%);;9,7
2017;Terra Alta;renda mitjana per persona (€);;10444
2017;Urgell;població ocupada (%);;65,6
2017;Urgell;treballadors de baixa qualificació (%);;18,3
2017;Urgell;població amb estudis baixos (%);..; 
2017;Urgell;població jove sense estudis postobligatoris (%);..; 
2017;Urgell;estrangers de països de renda baixa o mitjana (%);;16
2017;Urgell;renda mitjana per persona (€);;11048
2017;Vallès Occidental;població ocupada (%);;65,9
2017;Vallès Occidental;treballadors de baixa qualificació (%);;12
2017;Vallès Occidental;població amb estudis baixos (%);..; 
2017;Vallès Occidental;població jove sense estudis postobligatoris (%);..; 
2017;Vallès Occidental;estrangers de països de renda baixa o mitjana (%);;8,1
2017;Vallès Occidental;renda mitjana per persona (€);;13341
2017;Vallès Oriental;població ocupada (%);;66,3
2017;Vallès Oriental;treballadors de baixa qualificació (%);;14,5
2017;Vallès Oriental;població amb estudis baixos (%);..; 
2017;Vallès Oriental;població jove sense estudis postobligatoris (%);..; 
2017;Vallès Oriental;estrangers de països de renda baixa o mitjana (%);;7,1
2017;Vallès Oriental;renda mitjana per persona (€);;12879
2018;Alt Camp;població ocupada (%);;65,9
2018;Alt Camp;treballadors de baixa qualificació (%);;15,3
2018;Alt Camp;població amb estudis baixos (%);;16
2018;Alt Camp;població jove sense estudis postobligatoris (%);;35,7
2018;Alt Camp;estrangers de països de renda baixa o mitjana (%);;10,5
2018;Alt Camp;renda mitjana per persona (€);;12403
2018;Alt Empordà;població ocupada (%);;61,8
2018;Alt Empordà;treballadors de baixa qualificació (%);;17,1
2018;Alt Empordà;població amb estudis baixos (%);;18,9
2018;Alt Empordà;població jove sense estudis postobligatoris (%);;46,5
2018;Alt Empordà;estrangers de països de renda baixa o mitjana (%);;17
2018;Alt Empordà;renda mitjana per persona (€);;11651
2018;Alt Penedès;població ocupada (%);;68,3
2018;Alt Penedès;treballadors de baixa qualificació (%);;13,1
2018;Alt Penedès;població amb estudis baixos (%);;16,3
2018;Alt Penedès;població jove sense estudis postobligatoris (%);;33,4
2018;Alt Penedès;estrangers de països de renda baixa o mitjana (%);;9,2
2018;Alt Penedès;renda mitjana per persona (€);;13133
2018;Alt Urgell;població ocupada (%);;57,4
2018;Alt Urgell;treballadors de baixa qualificació (%);;16,1
2018;Alt Urgell;població amb estudis baixos (%);;16,5
2018;Alt Urgell;població jove sense estudis postobligatoris (%);;31,6
2018;Alt Urgell;estrangers de països de renda baixa o mitjana (%);;6,7
2018;Alt Urgell;renda mitjana per persona (€);;11041
2018;Alta Ribagorça;població ocupada (%);;66,9
2018;Alta Ribagorça;treballadors de baixa qualificació (%);;11,7
2018;Alta Ribagorça;població amb estudis baixos (%);;16,6
2018;Alta Ribagorça;població jove sense estudis postobligatoris (%);;29,2
2018;Alta Ribagorça;estrangers de països de renda baixa o mitjana (%);;9,6
2018;Alta Ribagorça;renda mitjana per persona (€);;12958
2018;Anoia;població ocupada (%);;65,9
2018;Anoia;treballadors de baixa qualificació (%);;13,5
2018;Anoia;població amb estudis baixos (%);;15,8
2018;Anoia;població jove sense estudis postobligatoris (%);;35
2018;Anoia;estrangers de països de renda baixa o mitjana (%);;7
2018;Anoia;renda mitjana per persona (€);;12423
2018;Aran;població ocupada (%);;66,5
2018;Aran;treballadors de baixa qualificació (%);;8,2
2018;Aran;població amb estudis baixos (%);;9
2018;Aran;població jove sense estudis postobligatoris (%);;26,8
2018;Aran;estrangers de països de renda baixa o mitjana (%);;12,4
2018;Aran;renda mitjana per persona (€);;13606
2018;Bages;població ocupada (%);;65,5
2018;Bages;treballadors de baixa qualificació (%);;14,8
2018;Bages;població amb estudis baixos (%);;16,8
2018;Bages;població jove sense estudis postobligatoris (%);;35
2018;Bages;estrangers de països de renda baixa o mitjana (%);;9,7
2018;Bages;renda mitjana per persona (€);;13145
2018;Baix Camp;població ocupada (%);;64
2018;Baix Camp;treballadors de baixa qualificació (%);;13,2
2018;Baix Camp;població amb estudis baixos (%);;15,8
2018;Baix Camp;població jove sense estudis postobligatoris (%);;35,1
2018;Baix Camp;estrangers de països de renda baixa o mitjana (%);;12,7
2018;Baix Camp;renda mitjana per persona (€);;12314
2018;Baix Ebre;població ocupada (%);;60,4
2018;Baix Ebre;treballadors de baixa qualificació (%);;16,5
2018;Baix Ebre;població amb estudis baixos (%);;19,9
2018;Baix Ebre;població jove sense estudis postobligatoris (%);;38,6
2018;Baix Ebre;estrangers de països de renda baixa o mitjana (%);;13,1
2018;Baix Ebre;renda mitjana per persona (€);;10956
2018;Baix Empordà;població ocupada (%);;63,5
2018;Baix Empordà;treballadors de baixa qualificació (%);;16,2
2018;Baix Empordà;població amb estudis baixos (%);;16,6
2018;Baix Empordà;població jove sense estudis postobligatoris (%);;41,6
2018;Baix Empordà;estrangers de països de renda baixa o mitjana (%);;15,1
2018;Baix Empordà;renda mitjana per persona (€);;11850
2018;Baix Llobregat;població ocupada (%);;68,4
2018;Baix Llobregat;treballadors de baixa qualificació (%);;11,9
2018;Baix Llobregat;població amb estudis baixos (%);;15,2
2018;Baix Llobregat;població jove sense estudis postobligatoris (%);;28,3
2018;Baix Llobregat;estrangers de països de renda baixa o mitjana (%);;7,5
2018;Baix Llobregat;renda mitjana per persona (€);;14031
2018;Baix Penedès;població ocupada (%);;59,9
2018;Baix Penedès;treballadors de baixa qualificació (%);;15,8
2018;Baix Penedès;població amb estudis baixos (%);;15,3
2018;Baix Penedès;població jove sense estudis postobligatoris (%);;41,7
2018;Baix Penedès;estrangers de països de renda baixa o mitjana (%);;11
2018;Baix Penedès;renda mitjana per persona (€);;11371
2018;Barcelonès;població ocupada (%);;64,6
2018;Barcelonès;treballadors de baixa qualificació (%);;10,3
2018;Barcelonès;població amb estudis baixos (%);;15,5
2018;Barcelonès;població jove sense estudis postobligatoris (%);;23,5
2018;Barcelonès;estrangers de països de renda baixa o mitjana (%);;13,2
2018;Barcelonès;renda mitjana per persona (€);;14876
2018;Berguedà;població ocupada (%);;64,5
2018;Berguedà;treballadors de baixa qualificació (%);;14,2
2018;Berguedà;població amb estudis baixos (%);;17,4
2018;Berguedà;població jove sense estudis postobligatoris (%);;30,8
2018;Berguedà;estrangers de països de renda baixa o mitjana (%);;6,8
2018;Berguedà;renda mitjana per persona (€);;13275
2018;Cerdanya;població ocupada (%);;66,9
2018;Cerdanya;treballadors de baixa qualificació (%);;14
2018;Cerdanya;població amb estudis baixos (%);;11,5
2018;Cerdanya;població jove sense estudis postobligatoris (%);;31,6
2018;Cerdanya;estrangers de països de renda baixa o mitjana (%);;10,2
2018;Cerdanya;renda mitjana per persona (€);;13282
2018;Conca de Barberà;població ocupada (%);;70,4
2018;Conca de Barberà;treballadors de baixa qualificació (%);;13,9
2018;Conca de Barberà;població amb estudis baixos (%);;16,7
2018;Conca de Barberà;població jove sense estudis postobligatoris (%);;29,8
2018;Conca de Barberà;estrangers de països de renda baixa o mitjana (%);;10,1
2018;Conca de Barberà;renda mitjana per persona (€);;12935
2018;Garraf;població ocupada (%);;62,8
2018;Garraf;treballadors de baixa qualificació (%);;10,6
2018;Garraf;població amb estudis baixos (%);;12,9
2018;Garraf;població jove sense estudis postobligatoris (%);;30,6
2018;Garraf;estrangers de països de renda baixa o mitjana (%);;7,4
2018;Garraf;renda mitjana per persona (€);;14051
2018;Garrigues;població ocupada (%);;68,3
2018;Garrigues;treballadors de baixa qualificació (%);;20,4
2018;Garrigues;població amb estudis baixos (%);;21,1
2018;Garrigues;població jove sense estudis postobligatoris (%);;32,6
2018;Garrigues;estrangers de països de renda baixa o mitjana (%);;11,5
2018;Garrigues;renda mitjana per persona (€);;11420
2018;Garrotxa;població ocupada (%);;71
2018;Garrotxa;treballadors de baixa qualificació (%);;16,2
2018;Garrotxa;població amb estudis baixos (%);;18,4
2018;Garrotxa;població jove sense estudis postobligatoris (%);;35,7
2018;Garrotxa;estrangers de països de renda baixa o mitjana (%);;12,5
2018;Garrotxa;renda mitjana per persona (€);;13325
2018;Gironès;població ocupada (%);;66,3
2018;Gironès;treballadors de baixa qualificació (%);;14,9
2018;Gironès;població amb estudis baixos (%);;15
2018;Gironès;població jove sense estudis postobligatoris (%);;34,7
2018;Gironès;estrangers de països de renda baixa o mitjana (%);;17,7
2018;Gironès;renda mitjana per persona (€);;13089
2018;Maresme;població ocupada (%);;65,5
2018;Maresme;treballadors de baixa qualificació (%);;11,4
2018;Maresme;població amb estudis baixos (%);;14,4
2018;Maresme;població jove sense estudis postobligatoris (%);;29,5
2018;Maresme;estrangers de països de renda baixa o mitjana (%);;8,8
2018;Maresme;renda mitjana per persona (€);;13637
2018;Moianès;població ocupada (%);;71,4
2018;Moianès;treballadors de baixa qualificació (%);;14,3
2018;Moianès;població amb estudis baixos (%);;14,3
2018;Moianès;població jove sense estudis postobligatoris (%);;28,9
2018;Moianès;estrangers de països de renda baixa o mitjana (%);;6,3
2018;Moianès;renda mitjana per persona (€);;13356
2018;Montsià;població ocupada (%);;57,4
2018;Montsià;treballadors de baixa qualificació (%);;17,5
2018;Montsià;població amb estudis baixos (%);;19,1
2018;Montsià;població jove sense estudis postobligatoris (%);;36,9
2018;Montsià;estrangers de països de renda baixa o mitjana (%);;14,1
2018;Montsià;renda mitjana per persona (€);;10162
2018;Noguera;població ocupada (%);;66,5
2018;Noguera;treballadors de baixa qualificació (%);;19,6
2018;Noguera;població amb estudis baixos (%);;19,4
2018;Noguera;població jove sense estudis postobligatoris (%);;40,3
2018;Noguera;estrangers de països de renda baixa o mitjana (%);;15,3
2018;Noguera;renda mitjana per persona (€);;11443
2018;Osona;població ocupada (%);;70,1
2018;Osona;treballadors de baixa qualificació (%);;18,2
2018;Osona;població amb estudis baixos (%);;16,6
2018;Osona;població jove sense estudis postobligatoris (%);;34,7
2018;Osona;estrangers de països de renda baixa o mitjana (%);;13
2018;Osona;renda mitjana per persona (€);;13260
2018;Pallars Jussà;població ocupada (%);;63,4
2018;Pallars Jussà;treballadors de baixa qualificació (%);;17,2
2018;Pallars Jussà;població amb estudis baixos (%);;20,3
2018;Pallars Jussà;població jove sense estudis postobligatoris (%);;25,4
2018;Pallars Jussà;estrangers de països de renda baixa o mitjana (%);;10,3
2018;Pallars Jussà;renda mitjana per persona (€);;12908
2018;Pallars Sobirà;població ocupada (%);;69,7
2018;Pallars Sobirà;treballadors de baixa qualificació (%);;12,6
2018;Pallars Sobirà;població amb estudis baixos (%);;13,9
2018;Pallars Sobirà;població jove sense estudis postobligatoris (%);;19,4
2018;Pallars Sobirà;estrangers de països de renda baixa o mitjana (%);;8,1
2018;Pallars Sobirà;renda mitjana per persona (€);;13605
2018;Pla d'Urgell;població ocupada (%);;68,9
2018;Pla d'Urgell;treballadors de baixa qualificació (%);;21,4
2018;Pla d'Urgell;població amb estudis baixos (%);;19,4
2018;Pla d'Urgell;població jove sense estudis postobligatoris (%);;39,8
2018;Pla d'Urgell;estrangers de països de renda baixa o mitjana (%);;17,1
2018;Pla d'Urgell;renda mitjana per persona (€);;11688
2018;Pla de l'Estany;població ocupada (%);;72,4
2018;Pla de l'Estany;treballadors de baixa qualificació (%);;14,9
2018;Pla de l'Estany;població amb estudis baixos (%);;15,9
2018;Pla de l'Estany;població jove sense estudis postobligatoris (%);;35,7
2018;Pla de l'Estany;estrangers de països de renda baixa o mitjana (%);;12,5
2018;Pla de l'Estany;renda mitjana per persona (€);;13341
2018;Priorat;població ocupada (%);;66,5
2018;Priorat;treballadors de baixa qualificació (%);;20,7
2018;Priorat;població amb estudis baixos (%);;15,3
2018;Priorat;població jove sense estudis postobligatoris (%);;29,4
2018;Priorat;estrangers de països de renda baixa o mitjana (%);;9,1
2018;Priorat;renda mitjana per persona (€);;11756
2018;Ribera d'Ebre;població ocupada (%);;61,2
2018;Ribera d'Ebre;treballadors de baixa qualificació (%);;14,6
2018;Ribera d'Ebre;població amb estudis baixos (%);;20,4
2018;Ribera d'Ebre;població jove sense estudis postobligatoris (%);;31,9
2018;Ribera d'Ebre;estrangers de països de renda baixa o mitjana (%);;10,9
2018;Ribera d'Ebre;renda mitjana per persona (€);;12382
2018;Ripollès;població ocupada (%);;70,6
2018;Ripollès;treballadors de baixa qualificació (%);;17,4
2018;Ripollès;població amb estudis baixos (%);;19,6
2018;Ripollès;població jove sense estudis postobligatoris (%);;34,1
2018;Ripollès;estrangers de països de renda baixa o mitjana (%);;7,5
2018;Ripollès;renda mitjana per persona (€);;13889
2018;Segarra;població ocupada (%);;71,3
2018;Segarra;treballadors de baixa qualificació (%);;18,7
2018;Segarra;població amb estudis baixos (%);;19,8
2018;Segarra;població jove sense estudis postobligatoris (%);;44,4
2018;Segarra;estrangers de països de renda baixa o mitjana (%);;25,5
2018;Segarra;renda mitjana per persona (€);;12334
2018;Segrià;població ocupada (%);;62,8
2018;Segrià;treballadors de baixa qualificació (%);;15,9
2018;Segrià;població amb estudis baixos (%);;16,3
2018;Segrià;població jove sense estudis postobligatoris (%);;37,4
2018;Segrià;estrangers de països de renda baixa o mitjana (%);;16,8
2018;Segrià;renda mitjana per persona (€);;12383
2018;Selva;població ocupada (%);;63,3
2018;Selva;treballadors de baixa qualificació (%);;16
2018;Selva;població amb estudis baixos (%);;15,7
2018;Selva;població jove sense estudis postobligatoris (%);;41
2018;Selva;estrangers de països de renda baixa o mitjana (%);;14,8
2018;Selva;renda mitjana per persona (€);;11674
2018;Solsonès;població ocupada (%);;70,6
2018;Solsonès;treballadors de baixa qualificació (%);;16,9
2018;Solsonès;població amb estudis baixos (%);;19,2
2018;Solsonès;població jove sense estudis postobligatoris (%);;28,7
2018;Solsonès;estrangers de països de renda baixa o mitjana (%);;9,6
2018;Solsonès;renda mitjana per persona (€);;12204
2018;Tarragonès;població ocupada (%);;61,8
2018;Tarragonès;treballadors de baixa qualificació (%);;11,6
2018;Tarragonès;població amb estudis baixos (%);;14,2
2018;Tarragonès;població jove sense estudis postobligatoris (%);;35,1
2018;Tarragonès;estrangers de països de renda baixa o mitjana (%);;14,1
2018;Tarragonès;renda mitjana per persona (€);;12746
2018;Terra Alta;població ocupada (%);;67,4
